Exp	Bioassay_Nid	Molecule_tid	Label_tid	Ex_Protocol	Lab_Protocol	Hyb_Protocol	Notes
7068	7070	565	588	Approximately 10,000 sorted cells were put into Trizol and RNA was isolated by standard methods.	Approximately 50ng of total RNA was processed to produce biotinylated cRNA targets.	Standard Affymetrix procedures.	
7068	7075	565	588	Approximately 10,000 sorted cells were put into Trizol and RNA was isolated by standard methods.	Approximately 50ng of total RNA was processed to produce biotinylated cRNA targets.	Standard Affymetrix procedures.	
7068	7083	565	588	Approximately 10,000 sorted cells were put into Trizol and RNA was isolated by standard methods.	Approximately 50ng of total RNA was processed to produce biotinylated cRNA targets.	Standard Affymetrix procedures.	
7068	7090	565	588	Approximately 10,000 sorted cells were put into Trizol and RNA was isolated by standard methods.	Approximately 50ng of total RNA was processed to produce biotinylated cRNA targets.	Standard Affymetrix procedures.	
7068	7096	565	588	Approximately 10,000 sorted cells were put into Trizol and RNA was isolated by standard methods.	Approximately 50ng of total RNA was processed to produce biotinylated cRNA targets.	Standard Affymetrix procedures.	
9684	12723	566	588	Translated RNA was isolated using GFP-TRAP(Green Fluorescent Protein-Translating Ribosome Affinity Purification). GFP-TRAP uses transgenic mice that express an Enhanced Green Fluorescent protein fused to the N-terminus of the large subunit ribosomal protein L10a (EGFP-L10a) in targeted cell populations.  This allows immunoaffinity purification of ribosome-bound mRNA specific to the selected cell types.  For more information, see Heiman M., Schaefer A., Gong S., Peterson J. D., Day M., Ramsey K. E., Suarez-Farinas M., Schwarz C., Stephan D. A., Surmeier D. J., Greengard P., Heintz N. (2008). A translational profiling approach for the molecular characterization of CNS cell types. Cell 2008, 135:738-748.			
9684	12724	566	588	Translated RNA was isolated using GFP-TRAP(Green Fluorescent Protein-Translating Ribosome Affinity Purification). GFP-TRAP uses transgenic mice that express an Enhanced Green Fluorescent protein fused to the N-terminus of the large subunit ribosomal protein L10a (EGFP-L10a) in targeted cell populations.  This allows immunoaffinity purification of ribosome-bound mRNA specific to the selected cell types.  For more information, see Heiman M., Schaefer A., Gong S., Peterson J. D., Day M., Ramsey K. E., Suarez-Farinas M., Schwarz C., Stephan D. A., Surmeier D. J., Greengard P., Heintz N. (2008). A translational profiling approach for the molecular characterization of CNS cell types. Cell 2008, 135:738-748.			
9684	12725	566	588	Translated RNA was isolated using GFP-TRAP(Green Fluorescent Protein-Translating Ribosome Affinity Purification). GFP-TRAP uses transgenic mice that express an Enhanced Green Fluorescent protein fused to the N-terminus of the large subunit ribosomal protein L10a (EGFP-L10a) in targeted cell populations.  This allows immunoaffinity purification of ribosome-bound mRNA specific to the selected cell types.  For more information, see Heiman M., Schaefer A., Gong S., Peterson J. D., Day M., Ramsey K. E., Suarez-Farinas M., Schwarz C., Stephan D. A., Surmeier D. J., Greengard P., Heintz N. (2008). A translational profiling approach for the molecular characterization of CNS cell types. Cell 2008, 135:738-748.			
9684	12726	566	588	Translated RNA was isolated using GFP-TRAP(Green Fluorescent Protein-Translating Ribosome Affinity Purification). GFP-TRAP uses transgenic mice that express an Enhanced Green Fluorescent protein fused to the N-terminus of the large subunit ribosomal protein L10a (EGFP-L10a) in targeted cell populations.  This allows immunoaffinity purification of ribosome-bound mRNA specific to the selected cell types.  For more information, see Heiman M., Schaefer A., Gong S., Peterson J. D., Day M., Ramsey K. E., Suarez-Farinas M., Schwarz C., Stephan D. A., Surmeier D. J., Greengard P., Heintz N. (2008). A translational profiling approach for the molecular characterization of CNS cell types. Cell 2008, 135:738-748.			
9684	12727	566	588	Translated RNA was isolated using GFP-TRAP(Green Fluorescent Protein-Translating Ribosome Affinity Purification). GFP-TRAP uses transgenic mice that express an Enhanced Green Fluorescent protein fused to the N-terminus of the large subunit ribosomal protein L10a (EGFP-L10a) in targeted cell populations.  This allows immunoaffinity purification of ribosome-bound mRNA specific to the selected cell types.  For more information, see Heiman M., Schaefer A., Gong S., Peterson J. D., Day M., Ramsey K. E., Suarez-Farinas M., Schwarz C., Stephan D. A., Surmeier D. J., Greengard P., Heintz N. (2008). A translational profiling approach for the molecular characterization of CNS cell types. Cell 2008, 135:738-748.			
9684	12728	566	588	Translated RNA was isolated using GFP-TRAP(Green Fluorescent Protein-Translating Ribosome Affinity Purification). GFP-TRAP uses transgenic mice that express an Enhanced Green Fluorescent protein fused to the N-terminus of the large subunit ribosomal protein L10a (EGFP-L10a) in targeted cell populations.  This allows immunoaffinity purification of ribosome-bound mRNA specific to the selected cell types.  For more information, see Heiman M., Schaefer A., Gong S., Peterson J. D., Day M., Ramsey K. E., Suarez-Farinas M., Schwarz C., Stephan D. A., Surmeier D. J., Greengard P., Heintz N. (2008). A translational profiling approach for the molecular characterization of CNS cell types. Cell 2008, 135:738-748.			
