Field_Name	Ontology_Preferred_Term	Ontology	Ontology_Term_ID	Term_Ontology_URL	Dataframe	Variable
Experiment	investigation	obo	OBI_0000066	<http://purl.obolibrary.org/obo/OBI_0000066>		exp_nid
Experiment Title	title	dc	title	<http://purl.org/dc/terms/title>	Experiment	title
Date	date	dc	date	<http://purl.org/dc/terms/date>	Experiment	date
Design Type	study_design	obo	OBI_0500000	<http://purl.obolibrary.org/obo/OBI_0500000>	Experiment	experiment_design_type
Summary	description	dc	description	<http://purl.org/dc/terms/description>	Experiment	summary
Contacts	contributor	dc	contributor	<http://purl.org/dc/terms/contributor>	Experiment	contact
External Reference	references	dc	references	<http://purl.org/dc/terms/references>	Experiment	external_reference
Curator	curator	efo	EFO_0001733	<http://www.ebi.ac.uk/efo/EFO_0001733>	Experiment	curator
Accession	identifier	dc	identifier	<http://purl.org/dc/terms/identifier>	Experiment	accession
Author	creator	dc	creator	<http://purl.org/dc/terms/creator>		drupal_creator
Measurement Type	has_measurement_type	mged	has_measurement_type	<http://mged.sourceforge.net/ontologies/MGEDontology.php#has_measurement_type>	Experiment	measurement_type
Factors	experimental factor	efo	EFO_0000001	<http://www.ebi.ac.uk/efo/EFO_0000001>	Experiment	factor
Extraction Protocol	extraction protocol	efo	EFO_0000490	<http://www.ebi.ac.uk/efo/EFO_0000490>	Experiment	extraction_protocol
Label	LabelCompound	mged	LabelCompound	<http://mged.sourceforge.net/ontologies/MGEDontology.php#LabelCompound>	Experiment	label
Labeling Protocol	labelling protocol	efo	EFO_0003808	<http://www.ebi.ac.uk/efo/EFO_0003808>	Experiment	label_protocol
Hybridization Protocol	hybridization protocol	efo	EFO_0003790	<http://www.ebi.ac.uk/efo/EFO_0003790>	Experiment	hybridization_protocol
Scan Protocol	array scanning protocol	efo	EFO_0003814	<http://www.ebi.ac.uk/efo/EFO_0003814>	Experiment	scan_protocol
Fragmentation Method	chemical cleavage	obo	OBI_0000943	<http://purl.obolibrary.org/obo/OBI_0000943>	Experiment	fragmentation_method
Fragment Length	length	obo	PATO_0000122	<http://purl.obolibrary.org/obo/PATO_0000122>	Experiment	fragment_length_value
Fragment Length Unit	length unit	obo	UO_0000001	<http://purl.obolibrary.org/obo/UO_0000001>	Experiment	fragment_length_unit
Library Construction Protocol	nucleic acid library construction protocol	efo	EFO_0004184	<http://www.ebi.ac.uk/efo/EFO_0004184>	Experiment	library_const_protocol
Library Source	seq_library_source	efo	EFO_0004104	<http://www.ebi.ac.uk/efo/EFO_0004104>	Experiment	library_source
Library Strategy	seq_library_strategy	efo	EFO_0004102	<http://www.ebi.ac.uk/efo/EFO_0004102>	Experiment	library_strategy
Library Selection	seq_library_selection	efo	EFO_0004105	<http://www.ebi.ac.uk/efo/EFO_0004105>	Experiment	library_selection
Library Layout		isa	library_layout	<http://isa.test.org/library_layout>	Experiment	library_layout
Treatment Protocol	treatment protocol	efo	EFO_0003969	<http://www.ebi.ac.uk/efo/EFO_0003969>	Experiment	treatment_protocol
Growth Protocol	growth protocol	efo	EFO_0003789	<http://www.ebi.ac.uk/efo/EFO_0003789>	Experiment	growth_protocol
Biblio Reference/Citation	bibliographicCitation	dc	bibliographicCitation	<http://purl.org/dc/terms/bibliographicCitation>	Experiment	citations
					Citation	citation_nid
Article Title	title	dc	title		Citation	title
Pubmed_id				<http://purl.org/ontology/bibo/pmid>	Citation	pubmed_id
Date of Issue				<http://purl.org/ontology/bibo/doi>	Citation	doi
Author list				<http://isa.test.org/author_list>	Citation	author_list
Reseacher Analyzed Data	data set	obo	IAO_0000100	<http://purl.obolibrary.org/obo/IAO_0000100>	Experiment	researcher_analysis
					Researcher_AD	researcher_ad_fid
Analysis Name	title	dc	title		Researcher_AD	title
Analysis Description	description	efo	description	<http://www.ebi.ac.uk/efo/description>	Researcher_AD	analysis_description
Analysis File	data file	efo	EFO_0004095	<http://www.ebi.ac.uk/efo/EFO_0004095>	Researcher_AD	analysis_file
Analysis File Type	data format specification	obo	IAO_0000098	<http://purl.obolibrary.org/obo/IAO_0000098>	Researcher_AD	analysis_file_format
Bioassays	has_part	ro	has_part	http://purl.org/obo/owl/ro#has_part	Experiment	bioassays
Bioassay Node					Bioassay	bioassay_nid
Bioassay Name	title	dc	title		Bioassay	title
Platform	platform	mged	platform	<http://mged.sourceforge.net/ontologies/MGEDontology.php#platform>	Bioassay	platform
Extract Molecule	BioSampleType	mged	BioSampleType	<http://mged.sourceforge.net/ontologies/MGEDontology.php#BioSampleType>	Bioassay	cellular_material
Cross-linking Method	cross linking	obo	OBI_0000800	<http://purl.obolibrary.org/obo/OBI_0000800>	Bioassay	cross_linking
Immunoprecipitation Antibody	"immunoglobulin complex, circulating"	obo	GO_0042571	<http://purl.obolibrary.org/obo/GO_0042571>	Bioassay	imp_antibody
Notes		isa	assay_notes	<http://isa.test.org/assay_notes>	Bioassay	bioassay_notes
Replicates	replicate	obo	OBI_0000293	<http://purl.obolibrary.org/obo/OBI_0000293>	Bioassay	replicate
					Replicate	replicate_fid
Replicate Name	title	dc	title		Replicate	title
Replicate Data Files	measurement datum	obo	OBI_0000299	<http://purl.obolibrary.org/obo/OBI_0000299>	Replicate	replicate_file
Replicate Type	ReplicateDescription	mged	ReplicateDescription	<http://mged.sourceforge.net/ontologies/MGEDontology.php#ReplicateDescription>	Replicate	replicate_type
Biomaterial		ro	is_a	<http://purl.org/obo/owl/ro#is_a>	Replicate	replicate_biomaterial
					Biomaterial	biomaterial_nid
					Biomaterial	title
Organism	organism	obo	OBI_0100026	<http://purl.obolibrary.org/obo/OBI_0100026>	Biomaterial	organism
Strain	strain	obo	OBI_0001185	<http://purl.obolibrary.org/obo/OBI_0001185>	Biomaterial	strain
Developmental Stage	life cycle stage	obo	UBERON_0000105	<http://purl.obolibrary.org/obo/UBERON_0000105>	Biomaterial	developmental_stage
Age	age	obo	PATO_0000011	<http://purl.obolibrary.org/obo/PATO_0000011>	Biomaterial	age
Sex	biological sex	obo	PATO_0000047	<http://purl.obolibrary.org/obo/PATO_0000047>	Biomaterial	sex
Tissue Type	gross anatomical part	obo	CARO_0001008	<http://purl.obolibrary.org/obo/CARO_0001008>	Biomaterial	tissue_type
Cell Type	cell	obo	CL_0000000	<http://purl.obolibrary.org/obo/CL_0000000>	Biomaterial	cell_type
Genetic Characteristics	genetic characteristics information	obo	OBI_0001404	<http://purl.obolibrary.org/obo/OBI_0001404>	Biomaterial	genotype
